,approach,model_label,classifier,preprocessing,undersampling,anomaly,metric,1,import_order
4506,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Speed,f1-score,-0.2302347858385628,4480
4562,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Speed,f1-score,-0.13961238646928417,4536
4618,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Speed,f1-score,-0.17119570250995653,4592
4674,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Speed,f1-score,-0.3434601048775539,4648
4730,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Speed,f1-score,-0.19655310163784745,4704
4786,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Speed,f1-score,-0.14277694343130948,4760
4842,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Speed,f1-score,-0.12513718811667074,4816
4898,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Speed,f1-score,-0.17687804242407323,4872
4126,Word-Embedding,Word_Embedding/PP/Std sampling/,Word_Embedding,1,0,Anomaly_Ground Excursion,f1-score,0.14867870225013086,4088
4182,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Ground Excursion,f1-score,0.005305643384114156,4144
4238,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Ground Excursion,f1-score,-0.3940563404849119,4200
4294,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Ground Excursion,f1-score,-0.1069302721088436,4256
4350,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Ground Excursion,f1-score,-0.02157284714833796,4312
4406,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Ground Excursion,f1-score,-0.13557163860398364,4368
4462,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Ground Excursion,f1-score,-0.09918454561311707,4424
4518,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Ground Excursion,f1-score,-0.22898816014955609,4480
4574,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Ground Excursion,f1-score,-0.18018722915663543,4536
4630,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Ground Excursion,f1-score,0.06935518888406428,4592
4686,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Ground Excursion,f1-score,-0.21530709057816677,4648
4742,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Ground Excursion,f1-score,-0.1697662936142199,4704
4798,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Ground Excursion,f1-score,-0.012094174162556037,4760
4854,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Ground Excursion,f1-score,-0.10218876654352427,4816
4910,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Ground Excursion,f1-score,-0.09582519964507541,4872
4142,Word-Embedding,Word_Embedding/PP/Std sampling/,Word_Embedding,1,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4088
4198,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4144
4254,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4200
4310,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4256
4366,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4312
4422,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4368
4478,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4424
4534,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4480
4590,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4536
4646,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4592
4702,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4648
4758,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4704
4814,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4760
4870,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4816
4926,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4872
4121,Word-Embedding,Word_Embedding/PP/Std sampling/,Word_Embedding,1,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.010471204188481686,4088
4177,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.02720796498154665,4144
4233,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.00025748862758567803,4200
4289,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.04712041884816753,4256
4345,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.01622178353789383,4312
4401,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation / Discrepancy - Procedural,recall,-0.009956226933310441,4368
4457,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.04042571453094157,4424
4513,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.02514805596086178,4480
4569,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.02016994249420656,4536
4625,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.01313192000686636,4592
4681,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.04677710067805341,4648
4737,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.028924555832117504,4704
4793,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.01819586301605014,4760
4849,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.0013732726804566164,4816
4905,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.007638829285040005,4872
4089,Word-Embedding,Word_Embedding/PP/Std sampling/,Word_Embedding,1,0,Anomaly_Aircraft Equipment,recall,0.1346204017740673,4088
4145,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Aircraft Equipment,recall,0.10683537698930345,4144
4201,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Aircraft Equipment,recall,0.058961648839029435,4200
4257,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Aircraft Equipment,recall,0.0867466736237934,4256
4313,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Aircraft Equipment,recall,0.10253065483955126,4312
4369,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Aircraft Equipment,recall,0.04069919123402033,4368
4425,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Aircraft Equipment,recall,0.07787633707278896,4424
4481,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Aircraft Equipment,recall,0.0536133576832768,4480
4537,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Aircraft Equipment,recall,0.08413775110879207,4536
4593,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Aircraft Equipment,recall,0.10670493086355337,4592
4649,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Aircraft Equipment,recall,0.022175841377511052,4648
4705,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Aircraft Equipment,recall,0.05830941821027913,4704
4761,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Aircraft Equipment,recall,0.11127054526480562,4760
4817,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Aircraft Equipment,recall,0.09392121054004698,4816
4873,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Aircraft Equipment,recall,0.1078789459953039,4872
4105,Word-Embedding,Word_Embedding/PP/Std sampling/,Word_Embedding,1,0,Anomaly_Conflict,recall,0.13712471131639725,4088
4161,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Conflict,recall,0.12961893764434174,4144
4217,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Conflict,recall,0.017032332563510333,4200
4273,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Conflict,recall,0.09786374133949194,4256
4329,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Conflict,recall,0.13654734411085445,4312
4385,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Conflict,recall,0.009815242494226273,4368
4441,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Conflict,recall,0.13106235565819857,4424
4497,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Conflict,recall,0.06784064665127021,4480
4553,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Conflict,recall,0.10392609699769051,4536
4609,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Conflict,recall,0.13077367205542723,4592
4665,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Conflict,recall,-0.015877598152424954,4648
4721,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Conflict,recall,0.1174942263279446,4704
4777,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Conflict,recall,0.1368360277136258,4760
4833,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Conflict,recall,0.125,4816
4889,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Conflict,recall,0.10594688221709003,4872
4137,Word-Embedding,Word_Embedding/PP/Std sampling/,Word_Embedding,1,0,Anomaly_Inflight Event / Encounter,recall,0.08180494905385732,4088
4193,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Inflight Event / Encounter,recall,0.023871906841339163,4144
4249,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Inflight Event / Encounter,recall,-0.04308588064046581,4200
4305,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Inflight Event / Encounter,recall,0.03347889374090246,4256
4361,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Inflight Event / Encounter,recall,0.028820960698689946,4312
4417,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Inflight Event / Encounter,recall,-0.01717612809315866,4368
4473,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Inflight Event / Encounter,recall,0.03755458515283844,4424
4529,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Inflight Event / Encounter,recall,-0.05560407569141196,4480
4585,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Inflight Event / Encounter,recall,-0.004366812227074246,4536
4641,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Inflight Event / Encounter,recall,0.08442503639010185,4592
4697,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Inflight Event / Encounter,recall,-0.038719068413391566,4648
4753,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Inflight Event / Encounter,recall,-0.024745269286754024,4704
4809,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Inflight Event / Encounter,recall,0.0034934497816593857,4760
4865,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Inflight Event / Encounter,recall,0.054439592430858774,4816
4921,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Inflight Event / Encounter,recall,0.043377001455604025,4872
4097,Word-Embedding,Word_Embedding/PP/Std sampling/,Word_Embedding,1,0,Anomaly_ATC Issue,recall,0.05529225908372826,4088
4153,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_ATC Issue,recall,-0.02274881516587679,4144
4209,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_ATC Issue,recall,-0.14913112164297,4200
4265,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_ATC Issue,recall,-0.10742496050552924,4256
4321,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_ATC Issue,recall,-0.03222748815165877,4312
4377,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_ATC Issue,recall,-0.07614533965244868,4368
4433,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_ATC Issue,recall,-0.10142180094786729,4424
4489,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_ATC Issue,recall,-0.11532385466034756,4480
4545,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_ATC Issue,recall,-0.07235387045813585,4536
4601,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_ATC Issue,recall,-0.01548183254344393,4592
4657,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_ATC Issue,recall,-0.14849921011058453,4648
4713,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_ATC Issue,recall,-0.07330173775671406,4704
4769,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_ATC Issue,recall,0.049289099526066305,4760
4825,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_ATC Issue,recall,0.02243285939968409,4816
4881,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_ATC Issue,recall,-0.04834123222748815,4872
4109,Word-Embedding,Word_Embedding/PP/Std sampling/,Word_Embedding,1,0,Anomaly_Deviation - Altitude,recall,0.10334872979214782,4088
4165,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Altitude,recall,0.019630484988452657,4144
4221,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Altitude,recall,-0.0969976905311778,4200
4277,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Altitude,recall,-0.013856812933025375,4256
4333,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Altitude,recall,0.03406466512702078,4312
4389,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Altitude,recall,-0.056581986143187046,4368
4445,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Altitude,recall,-0.025981524249422627,4424
4501,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Altitude,recall,-0.010969976905311762,4480
4557,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Altitude,recall,0.03464203233256358,4536
4613,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Altitude,recall,0.049653579676674386,4592
4669,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Altitude,recall,-0.07852193995381063,4648
4725,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Altitude,recall,-0.027713625866050806,4704
4781,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Altitude,recall,-0.0323325635103926,4760
4837,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Altitude,recall,0.026558891454965372,4816
4893,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Altitude,recall,0.038106235565819935,4872
4117,Word-Embedding,Word_Embedding/PP/Std sampling/,Word_Embedding,1,0,Anomaly_Deviation - Track / Heading,recall,0.17142857142857149,4088
4173,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Track / Heading,recall,0.07453416149068326,4144
4229,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Track / Heading,recall,-0.05590062111801242,4200
4285,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Track / Heading,recall,0.04472049689440999,4256
4341,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Track / Heading,recall,0.07763975155279507,4312
4397,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Track / Heading,recall,0.016149068322981408,4368
4453,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Track / Heading,recall,0.1341614906832298,4424
4509,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Track / Heading,recall,0.03291925465838513,4480
4565,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Track / Heading,recall,0.049068322981366486,4536
4621,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Track / Heading,recall,0.10310559006211184,4592
4677,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:500_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Track / Heading,recall,-0.08260869565217388,4648
4733,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:1000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Track / Heading,recall,0.04099378881987581,4704
4789,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:9000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Track / Heading,recall,0.06583850931677021,4760
4845,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Deviation - Track / Heading,recall,0.07329192546583851,4816
4901,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:20000_pad:PRE_trunc:PRE,Word_Embedding,1,0,Anomaly_Deviation - Track / Heading,recall,0.003105590062111807,4872
4133,Word-Embedding,Word_Embedding/PP/Std sampling/,Word_Embedding,1,0,Anomaly_Ground Event / Encounter,recall,0.09905660377358488,4088
4189,Word-Embedding,Word_Embedding_PP_maxlen:200_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Ground Event / Encounter,recall,0.03032345013477089,4144
4245,Word-Embedding,Word_Embedding_PP_maxlen:50_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Ground Event / Encounter,recall,-0.11522911051212936,4200
4301,Word-Embedding,Word_Embedding_PP_maxlen:400_vocab_size:3000_pad:POST_trunc:POST,Word_Embedding,1,0,Anomaly_Ground Event / Encounter,recall,0.03369272237196769,4256
